rule,rule_time
go.jwt-go.security.audit.jwt-parse-unverified.jwt-go-parse-unverified,0.0
go.jwt-go.security.jwt-none-alg.jwt-go-none-algorithm,0.0
go.jwt-go.security.jwt.hardcoded-jwt-key,0.0
go.lang.security.audit.crypto.bad_imports.insecure-module-used,0.0
go.lang.security.audit.crypto.insecure_ssh.avoid-ssh-insecure-ignore-host-key,0.0
go.lang.security.audit.crypto.math_random.math-random-used,0.0
go.lang.security.audit.crypto.missing-ssl-minversion.missing-ssl-minversion,0.0
go.lang.security.audit.crypto.ssl.ssl-v3-is-insecure,0.0
go.lang.security.audit.crypto.tls.tls-with-insecure-cipher,0.0
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-DES,0.0
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-md5,0.0
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-rc4,0.0
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-sha1,0.0
go.lang.security.audit.crypto.use_of_weak_rsa_key.use-of-weak-rsa-key,0.0
go.lang.security.audit.dangerous-command-write.dangerous-command-write,0.0
go.lang.security.audit.dangerous-exec-cmd.dangerous-exec-cmd,0.0
go.lang.security.audit.dangerous-exec-command.dangerous-exec-command,0.0
go.lang.security.audit.dangerous-syscall-exec.dangerous-syscall-exec,0.0
go.lang.security.audit.database.string-formatted-query.string-formatted-query,0.0
go.lang.security.audit.md5-used-as-password.md5-used-as-password,0.0
go.lang.security.audit.net.bind_all.avoid-bind-to-all-interfaces,0.0
go.lang.security.audit.net.cookie-missing-httponly.cookie-missing-httponly,0.0
go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure,0.0
go.lang.security.audit.net.dynamic-httptrace-clienttrace.dynamic-httptrace-clienttrace,0.0
go.lang.security.audit.net.formatted-template-string.formatted-template-string,0.0
go.lang.security.audit.net.pprof.pprof-debug-exposure,0.0
go.lang.security.audit.net.unescaped-data-in-htmlattr.unescaped-data-in-htmlattr,0.0
go.lang.security.audit.net.unescaped-data-in-js.unescaped-data-in-js,0.0
go.lang.security.audit.net.unescaped-data-in-url.unescaped-data-in-url,0.0
go.lang.security.audit.net.use-tls.use-tls,0.0
go.lang.security.audit.net.wip-xss-using-responsewriter-and-printf.wip-xss-using-responsewriter-and-printf,0.0
go.lang.security.audit.reflect-makefunc.reflect-makefunc,0.0
go.lang.security.audit.sqli.gosql-sqli.gosql-sqli,0.0
go.lang.security.audit.sqli.pg-orm-sqli.pg-orm-sqli,0.0
go.lang.security.audit.sqli.pg-sqli.pg-sqli,0.0
go.lang.security.audit.sqli.pgx-sqli.pgx-sqli,0.0
go.lang.security.audit.unsafe-reflect-by-name.unsafe-reflect-by-name,0.0
go.lang.security.audit.xss.import-text-template.import-text-template,0.0
go.lang.security.audit.xss.no-direct-write-to-responsewriter.no-direct-write-to-responsewriter,0.0
go.lang.security.audit.xss.no-fprintf-to-responsewriter.no-fprintf-to-responsewriter,0.0
go.lang.security.audit.xss.no-interpolation-in-tag.no-interpolation-in-tag,0.0
go.lang.security.audit.xss.no-interpolation-js-template-string.no-interpolation-js-template-string,0.0
go.lang.security.audit.xss.no-io-writestring-to-responsewriter.no-io-writestring-to-responsewriter,0.0
go.lang.security.audit.xss.no-printf-in-responsewriter.no-printf-in-responsewriter,0.0
go.lang.security.audit.xss.template-html-does-not-escape.unsafe-template-type,0.0
go.lang.security.bad_tmp.bad-tmp-file-creation,0.0
go.lang.security.decompression_bomb.potential-dos-via-decompression-bomb,0.0
